athlete_id,athlete_name,age,height,weight,sport,vertical_jump_height,sprint_speed,training_hours_per_week
1,Erhart Hatherleigh,30,194.3,56.1,basketball,58.98,8.3,22
2,Inge Stoving,23,159.3,100.7,swimming,12.31,11.08,23
3,Ava Ridgway,30,204.5,114.5,tennis,15.35,1.63,2
4,Malena Heisman,18,206.7,87.1,basketball,32.74,5.5,8
5,Dickie Micheu,22,185.3,52.5,basketball,21.23,5.88,0
6,Darcie Houldcroft,28,176.5,73.2,basketball,11.86,6.71,24
7,Isador Rame,24,157.1,104.2,tennis,6.85,7.77,17
8,Dew Sesser,24,150.0,118.2,tennis,4.67,10.01,2
9,Addi Mackney,19,200.7,59.9,tennis,10.46,6.77,31
10,Estevan Stainer,36,167.1,94.5,tennis,41.97,2.03,33
11,Jocelyne Muirden,40,161.1,77.4,tennis,56.51,3.48,31
12,Glennie Watchorn,35,189.4,104.9,tennis,51.41,4.91,27
13,Oralee Emanson,40,173.7,106.1,tennis,35.64,10.49,31
14,Moise Burstow,37,154.1,74.7,basketball,26.28,5.07,11
15,Seana Walding,37,196.9,95.1,tennis,49.27,0.95,13
16,Eleni Bellas,32,172.2,105.3,swimming,6.42,6.76,8
17,Noelyn Domel,34,187.2,62.7,soccer,25.62,2.92,35
18,Mariam Waszczykowski,19,166.0,67.1,swimming,46.58,6.08,9
19,Stefa MacKissack,30,172.2,85.9,swimming,27.16,1.43,13
20,Claude Masham,29,187.4,52.9,swimming,31.16,0.84,6
21,Leslie Fantini,20,156.0,119.1,tennis,45.04,3.88,3
22,Flemming Jeannon,20,203.7,102.3,basketball,21.56,8.06,0
23,Alyce Brannigan,20,219.1,114.5,swimming,51.88,7.37,5
24,Chariot Saberton,24,204.0,105.6,basketball,41.6,11.29,28
25,Robina Gilligan,22,185.1,70.8,basketball,41.9,8.42,10
26,Marijn Blincoe,37,186.9,118.7,soccer,57.3,6.75,39
27,Barbie Bails,20,209.3,109.2,soccer,52.28,8.16,34
28,Catlaina Matejka,32,201.8,93.8,swimming,40.46,10.0,9
29,Stanley Wakeman,39,173.3,90.1,tennis,50.68,10.23,5
30,Price Doghartie,19,182.5,64.2,swimming,44.71,1.68,34
31,Robbie Buttrum,36,204.8,107.4,swimming,32.97,6.56,22
32,Gardener Richardes,30,183.3,104.7,tennis,36.23,6.78,30
33,Fanni Capstack,30,206.6,83.4,soccer,54.55,5.04,1
34,Blisse Buye,34,176.4,113.2,basketball,55.0,1.88,12
35,Lucien Gaspero,21,179.9,105.0,swimming,24.67,10.97,10
36,Joy Naerup,35,209.9,110.9,soccer,32.73,10.49,13
37,Kellie Jonson,30,199.7,59.3,soccer,20.07,7.62,3
38,Ilsa Westphal,28,179.9,111.6,tennis,47.84,11.66,0
39,Fremont Tredgold,21,185.6,76.7,basketball,7.7,4.22,2
40,Kore Pawlyn,25,169.9,83.9,swimming,21.62,2.4,21
41,Lee Thebeaud,24,215.2,64.6,basketball,43.34,8.16,36
42,Lorenzo Bordone,24,192.8,78.6,soccer,55.35,7.81,22
43,Merralee Bloschke,40,151.5,55.1,basketball,0.71,7.76,31
44,Hugues Bensusan,38,213.9,70.9,soccer,0.18,5.47,29
45,Stanfield Kasper,25,171.2,81.4,swimming,51.32,6.03,35
46,Myca Halbord,25,162.7,115.3,tennis,47.81,0.14,2
47,Audra Goodliff,40,155.7,78.5,basketball,34.1,4.55,28
48,Katy Thebes,21,202.8,65.0,basketball,15.37,3.95,29
49,Carolina Clurow,30,180.8,73.8,basketball,24.48,3.9,31
50,Brunhilda Biggs,33,188.6,93.9,swimming,15.42,8.88,20
51,Wallis Carn,29,161.3,83.0,soccer,15.11,4.98,29
52,Homer Crosse,34,192.3,59.4,tennis,40.79,10.64,25
53,Nil Bennie,33,182.2,97.5,basketball,12.85,1.71,0
54,Cleopatra Eales,30,206.3,119.2,tennis,35.15,11.63,5
55,Fancie Dunaway,38,204.4,80.1,swimming,40.39,10.32,8
56,Maxy Cottom,32,210.7,92.5,soccer,19.78,8.95,35
57,Aloysia Kobera,35,163.8,74.3,basketball,51.58,6.65,28
58,Linn Beresford,21,216.5,61.7,soccer,1.79,0.13,31
59,Corbett Bugg,32,206.6,109.4,basketball,42.6,2.82,27
60,Eben Blick,25,184.7,104.9,basketball,40.94,3.26,15
61,Alix Wasielewski,36,195.3,118.1,soccer,59.81,4.36,15
62,Virge Chattey,38,190.1,67.1,tennis,41.55,0.97,29
